date,symbol,open,high,low,close,volume
2024-01-02,AAPL,185.50,187.20,184.90,186.75,52000000
2024-01-03,AAPL,186.80,188.50,186.00,187.40,48500000
2024-01-04,AAPL,187.20,189.00,186.50,188.20,51200000
2024-01-05,AAPL,188.30,190.50,187.80,189.95,54300000
2024-01-08,AAPL,189.80,191.20,189.00,190.50,49800000
2024-01-02,TSLA,238.45,242.80,237.90,241.20,95000000
2024-01-03,TSLA,241.50,245.30,240.80,244.10,92500000
2024-01-04,TSLA,244.20,247.50,243.50,246.80,98200000
2024-01-05,TSLA,246.90,250.20,245.80,248.50,101000000
2024-01-08,TSLA,248.70,252.30,247.90,251.40,96500000
